url,page,store,brand,tech,size,resolution,price
https://www.bestbuy.com/site/sony-65-class-led-x950g-series-2160p-smart-4k-uhd-tv-with-hdr/6331578.p?skuId=6331578,4,Best Buy,Sony,LED,65,4K,"Your price for this item is $1,699.99"
https://www.bestbuy.com/site/lg-65-class-led-nano-9-series-2160p-smart-4k-uhd-tv-with-hdr/6339241.p?skuId=6339241,4,Best Buy,LG,LED,65,4K,"Your price for this item is $1,249.99"
https://www.bestbuy.com/site/lg-28-class-led-720p-hdtv/6337625.p?skuId=6337625,4,Best Buy,LG,LED,28,720p,Your price for this item is $129.99
https://www.bestbuy.com/site/tcl-75-class-led-6-series-2160p-smart-4k-uhd-tv-with-hdr-roku-tv/6319339.p?skuId=6319339,5,Best Buy,TCL,LED,75,4K,"Your price for this item is $1,299.99"
https://www.bestbuy.com/site/samsung-65-class-led-8-series-2160p-smart-4k-uhd-tv-with-hdr/6325564.p?skuId=6325564,5,Best Buy,Samsung,LED,65,4K,"Your price for this item is $1,099.99"
https://www.bestbuy.com/site/samsung-65-class-led-q60-series-2160p-smart-4k-uhd-tv-with-hdr/6331761.p?skuId=6331761,5,Best Buy,Samsung,LED,65,4K,"Your price for this item is $1,199.99"
https://www.bestbuy.com/site/sony-55-class-led-x950g-series-2160p-smart-4k-uhd-tv-with-hdr/6331577.p?skuId=6331577,5,Best Buy,Sony,LED,55,4K,"Your price for this item is $1,099.99"
https://www.bestbuy.com/site/toshiba-55-class-led-2160p-smart-4k-uhd-tv-with-hdr-fire-tv-edition/6194911.p?skuId=6194911,5,Best Buy,Toshiba,LED,55,4K,Your price for this item is $329.99
https://www.bestbuy.com/site/samsung-55-class-led-curved-7-series-2160p-smart-4k-uhd-tv-with-hdr/6323722.p?skuId=6323722,5,Best Buy,Samsung,LED,55,4K,Your price for this item is $549.99
https://www.bestbuy.com/site/insignia-24-class-led-720p-hdtv/6164815.p?skuId=6164815,5,Best Buy,Insignia™,LED,24,720p,Your price for this item is $89.99
https://www.bestbuy.com/site/samsung-55-class-led-q60-series-2160p-smart-4k-uhd-tv-with-hdr/6331758.p?skuId=6331758,5,Best Buy,Samsung,LED,55,4K,Your price for this item is $949.99
https://www.bestbuy.com/site/sony-65-class-oled-a8g-series-2160p-smart-4k-uhd-tv-with-hdr/6331595.p?skuId=6331595,5,Best Buy,Sony,OLED,65,4K,"Your price for this item is $2,499.99"
